year,month,dias_extremos
1970,1,2
1970,2,0
1970,3,0
1970,4,0
1970,5,0
1970,6,0
1970,7,0
1970,8,0
1970,9,0
1970,10,0
1970,11,0
1970,12,0
1971,1,0
1971,2,0
1971,3,0
1971,4,0
1971,5,0
1971,6,0
1971,7,0
1971,8,0
1971,9,0
1971,10,0
1971,11,0
1971,12,0
1972,1,0
1972,2,0
1972,3,0
1972,4,0
1972,5,0
1972,6,0
1972,7,0
1972,8,0
1972,9,0
1972,10,0
1972,11,0
1972,12,0
1973,1,0
1973,2,0
1973,3,0
1973,4,0
1973,5,0
1973,6,0
1973,7,0
1973,8,0
1973,9,0
1973,10,0
1973,11,0
1973,12,0
1974,1,0
1974,2,0
1974,3,0
1974,4,0
1974,5,0
1974,6,0
1974,7,0
1974,8,0
1974,9,0
1974,10,0
1974,11,0
1974,12,0
1975,1,0
1975,2,0
1975,3,0
1975,4,0
1975,5,0
1975,6,0
1975,7,0
1975,8,0
1975,9,0
1975,10,0
1975,11,0
1975,12,0
1976,1,0
1976,2,0
1976,3,0
1976,4,0
1976,5,0
1976,6,0
1976,7,0
1976,8,0
1976,9,1
1976,10,0
1976,11,0
1976,12,0
1977,1,0
1977,2,0
1977,3,0
1977,4,0
1977,5,0
1977,6,0
1977,7,0
1977,8,0
1977,9,0
1977,10,1
1977,11,0
1977,12,0
1978,1,0
1978,2,0
1978,3,0
1978,4,0
1978,5,0
1978,6,0
1978,7,0
1978,8,0
1978,9,0
1978,10,0
1978,11,0
1978,12,0
1979,1,0
1979,2,0
1979,3,1
1979,4,0
1979,5,0
1979,6,0
1979,7,0
1979,8,0
1979,9,0
1979,10,0
1979,11,0
1979,12,0
1980,1,0
1980,2,0
1980,3,0
1980,4,0
1980,5,0
1980,6,0
1980,7,0
1980,8,0
1980,9,0
1980,10,1
1980,11,0
1980,12,4
1981,1,0
1981,2,1
1981,3,4
1981,4,1
1981,5,0
1981,6,0
1981,7,0
1981,8,0
1981,9,0
1981,10,0
1981,11,1
1981,12,0
1982,1,0
1982,2,0
1982,3,0
1982,4,0
1982,5,0
1982,6,0
1982,7,0
1982,8,0
1982,9,0
