Time,Anomaly (deg C),t2m
1970,-0.24430084228515625,299.7565
1971,-0.47403717041015625,299.52676
1972,-0.34350331624348956,299.6573
1973,-0.10444895426432292,299.89633
1974,-0.9109878540039062,299.0898
1975,-0.6344579060872396,299.36633
1976,-0.6804784138997396,299.3203
1977,-0.09702301025390625,299.90378
1978,-0.32240549723307294,299.67838
1979,-0.21207427978515625,299.78873
1980,-0.1515070597330729,299.84927
1981,-0.45743560791015625,299.54337
1982,-0.03916168212890625,299.96164
1983,0.5683619181315104,300.56915
1984,-0.25461578369140625,299.7462
1985,-0.33912913004557294,299.66165
1986,-0.10192616780598958,299.89886
1987,0.42470550537109375,300.4255
1988,0.23519134521484375,300.236
1989,-0.42042795817057294,299.58035
1990,0.041302998860677086,300.04208
1991,0.35892995198567706,300.3597
1992,0.6291732788085938,300.62997
1993,0.05434417724609375,300.05515
1994,0.1788355509440104,300.17963
1995,0.36407725016276044,300.36487
1996,0.41445159912109375,300.41525
1997,1.3230819702148438,301.32388
1998,1.168866475423177,301.16965
1999,-0.09673817952473958,299.90405
2000,-0.12082672119140625,299.87997
2001,0.5682601928710938,300.56906
2002,0.9483871459960938,300.9492
2003,0.7410914103190104,300.74188
2004,0.8522771199544271,300.85306
2005,0.7606430053710938,300.76144
2006,0.44387054443359375,300.44467
2007,0.49377695719401044,300.49457
2008,0.09857432047526042,300.09937
2009,1.1123682657877605,301.11316
2010,0.48150889078776044,300.4823
2011,0.08372243245442708,300.0845
2012,0.30816904703776044,300.30896
2013,0.46924082438151044,300.47003
2014,0.9820785522460938,300.98288
2015,1.3611679077148438,301.36197
2016,1.1605860392252605,301.16138
2017,0.9082667032877604,300.90906
2018,1.024274190266927,301.02505
2019,1.168988545735677,301.16977
2020,1.160382588704427,301.16116
2021,0.49845631917317706,300.49924
2022,0.29286956787109375,300.29367
2023,1.4360580444335938,301.43686
2024,2.0497665405273438,302.05057
