Time,Anomaly (deg C),t2m
1970,-0.31699371337890625,299.21414
1971,-0.7178115844726562,298.81332
1972,-0.25439198811848956,299.27676
1973,-0.1608861287434896,299.37027
1974,-0.5961481730143229,298.935
1975,-0.5445531209309896,298.9866
1976,-0.36610666910807294,299.16504
1977,-0.31504058837890625,299.2161
1978,-0.2108942667643229,299.32025
1979,0.1840235392252604,299.71518
1980,0.24532318115234375,299.77646
1981,-0.046160380045572914,299.485
1982,0.1442082722981771,299.67535
1983,0.6350123087565104,300.16617
1984,-0.35365549723307294,299.1775
1985,-0.2123387654622396,299.31882
1986,-0.2390111287434896,299.29214
1987,0.40670013427734375,299.93784
1988,0.10034434000651042,299.6315
1989,-0.25081125895182294,299.28033
1990,0.30530039469401044,299.83646
1991,0.36948903401692706,299.90063
1992,0.44795989990234375,299.9791
1993,0.01168060302734375,299.54282
1994,0.00435638427734375,299.5355
1995,0.29417165120442706,299.82532
1996,-0.1814142862955729,299.34973
1997,0.7462997436523438,300.27744
1998,0.6718978881835938,300.20303
1999,-0.08400217692057292,299.44714
2000,-0.033526102701822914,299.49762
2001,0.24025726318359375,299.7714
2002,0.46763356526692706,299.99878
2003,0.5116806030273438,300.04282
2004,0.41390228271484375,299.94504
2005,0.7369817097981771,300.26813
2006,0.44293467203776044,299.9741
2007,0.36358896891276044,299.89474
2008,-0.03812408447265625,299.493
2009,0.5902328491210938,300.12137
2010,0.8951441446940104,300.4263
2011,0.45107269287109375,299.9822
2012,0.39713795979817706,299.92828
2013,0.44110361735026044,299.97226
2014,0.46104176839192706,299.9922
2015,1.320538838704427,300.85168
2016,1.0871810913085938,300.61832
2017,0.6176172892252604,300.14877
2018,0.5414861043294271,300.07263
2019,0.5598576863606771,300.091
2020,0.8491236368815104,300.38028
2021,0.2164332071940104,299.7476
2022,0.34464772542317706,299.8758
2023,1.020795186360677,300.55194
2024,1.4768905639648438,301.00803
