Time,Anomaly (deg C),t2m
1970,0.1276117960611979,299.31216
1971,-0.45098114013671875,298.73358
1972,0.11847686767578125,299.30304
1973,0.1705805460611979,299.35513
1974,-0.7793299357096354,298.40524
1975,-0.6353683471679688,298.5492
1976,-0.5501429239908854,298.63443
1977,-0.33245086669921875,298.8521
1978,-0.31806691487630206,298.8665
1979,-0.44318898518880206,298.74136
1980,0.11548614501953125,299.30005
1981,-0.05297088623046875,299.1316
1982,0.11806996663411458,299.30264
1983,0.7031326293945312,299.8877
1984,-0.1441980997721354,299.04037
1985,-0.5499598185221354,298.6346
1986,-0.10230763753255208,299.08224
1987,0.5902175903320312,299.77478
1988,0.22504425048828125,299.4096
1989,-0.37950897216796875,298.80505
1990,0.5333124796549479,299.71786
1991,-0.1864954630533854,298.99808
1992,-0.02599334716796875,299.15857
1993,0.26506296793619794,299.44962
1994,0.1784947713216146,299.36307
1995,0.04511260986328125,299.22968
1996,0.2050654093424479,299.38962
1997,0.021776835123697918,299.20633
1998,1.345690409342448,300.53024
1999,0.30652618408203125,299.4911
2000,0.00885772705078125,299.19342
2001,0.19550323486328125,299.38007
2002,0.5912348429361979,299.7758
2003,0.41429392496744794,299.59885
2004,0.41561635335286456,299.6002
2005,0.5819371541341146,299.7665
2006,0.19904327392578125,299.3836
2007,0.7594273885091146,299.944
2008,0.36491648356119794,299.54947
2009,0.26711781819661456,299.4517
2010,1.1462071736653645,300.33078
2011,0.29873402913411456,299.4833
2012,0.6422195434570312,299.82678
2013,0.9325841267903646,300.11716
2014,0.7879511515299479,299.9725
2015,1.306139628092448,300.4907
2016,1.7786534627278645,300.96323
2017,1.2962315877278645,300.4808
2018,0.8750279744466146,300.0596
2019,1.0631179809570312,300.24768
2020,0.5892003377278646,299.77377
2021,0.1486078898111979,299.33316
2022,0.27446238199869794,299.459
2023,0.7613601684570312,299.94592
2024,0.8187535603841146,300.00333
