Time,Anomaly (deg C),t2m
1970,-0.051478068033854164,298.9055
1971,-0.6259002685546875,298.33105
1972,-0.15308125813802084,298.80386
1973,-0.1844329833984375,298.77252
1974,-0.7037200927734375,298.25323
1975,-0.4131927490234375,298.54376
1976,-0.5408782958984375,298.41608
1977,-0.2963714599609375,298.66058
1978,-0.1957244873046875,298.76123
1979,-0.08917744954427083,298.86777
1980,0.0703277587890625,299.02728
1981,-0.07058207194010417,298.88638
1982,-0.005376180013020833,298.95157
1983,0.4303131103515625,299.38727
1984,-0.07766215006510417,298.8793
1985,-0.23865254720052084,298.7183
1986,-0.09406026204427083,298.86288
1987,0.4687856038411458,299.42575
1988,0.16702779134114584,299.124
1989,-0.18825785319010416,298.7687
1990,0.10961405436197917,299.06656
1991,0.14611307779947916,299.10306
1992,0.058283487955729164,299.01523
1993,-0.17072041829427084,298.78622
1994,0.0390167236328125,298.99597
1995,0.4282379150390625,299.3852
1996,0.040135701497395836,298.9971
1997,0.6769968668619791,299.63394
1998,1.0243886311848958,299.98135
1999,0.23955790201822916,299.1965
2000,0.14904276529947916,299.106
2001,0.049718221028645836,299.00668
2002,0.6054229736328125,299.56238
2003,0.4289703369140625,299.38593
2004,0.4395090738932292,299.39645
2005,0.6633249918619791,299.62027
2006,0.5792795817057291,299.53622
2007,0.4857737223307292,299.44272
2008,0.2977650960286458,299.25473
2009,0.5052439371744791,299.4622
2010,0.9612375895182291,299.91818
2011,1.0204620361328125,299.97742
2012,0.7905426025390625,299.7475
2013,0.24466451009114584,299.20163
2014,0.3551177978515625,299.31207
2015,0.8270416259765625,299.784
2016,0.8904164632161459,299.84738
2017,0.7043406168619791,299.6613
2018,0.4131622314453125,299.37012
2019,0.7312164306640625,299.68817
2020,0.8500722249348959,299.80704
2021,0.5419464111328125,299.4989
2022,0.5254262288411459,299.4824
2023,1.1190541585286458,300.07602
2024,1.5665639241536458,300.52353
