Time,Anomaly (deg C),t2m
1970-01,0.694854736328125,299.97217
1970-02,0.692230224609375,299.72388
1970-03,0.149688720703125,299.15894
1970-04,0.186553955078125,299.40698
1970-05,0.296173095703125,299.8064
1970-06,-0.0355224609375,299.73145
1970-07,-0.294830322265625,299.42065
1970-08,0.001129150390625,300.0327
1970-09,0.00616455078125,300.02734
1970-10,0.0162353515625,300.05054
1970-11,-0.04766845703125,300.14062
1970-12,0.2620849609375,300.1704
1971-01,0.174346923828125,299.45166
1971-02,-0.385162353515625,298.64648
1971-03,-0.481414794921875,298.52783
1971-04,-0.670135498046875,298.5503
1971-05,-0.915496826171875,298.59473
1971-06,-0.7220458984375,299.04492
1971-07,-0.421539306640625,299.29395
1971-08,-0.218353271484375,299.81323
1971-09,-0.35662841796875,299.66455
1971-10,-0.2313232421875,299.80298
1971-11,-0.25421142578125,299.93408
1971-12,-0.1539306640625,299.7544
1972-01,0.063018798828125,299.34033
1972-02,-0.332183837890625,298.69946
1972-03,-0.118865966796875,298.89038
1972-04,-0.183807373046875,299.03662
1972-05,-0.144500732421875,299.36572
1972-06,-0.1788330078125,299.58813
1972-07,0.046234130859375,299.76172
1972-08,-0.379486083984375,299.6521
1972-09,-0.05609130859375,299.9651
1972-10,0.1265869140625,300.1609
1972-11,0.05682373046875,300.24512
1972-12,-0.2452392578125,299.6631
1973-01,-0.199676513671875,299.07764
1973-02,-0.073394775390625,298.95825
1973-03,0.065216064453125,299.07446
1973-04,-0.201873779296875,299.01855
1973-05,-0.343719482421875,299.1665
1973-06,-0.1607666015625,299.6062
1973-07,-0.321441650390625,299.39404
1973-08,-0.258392333984375,299.7732
1973-09,0.27691650390625,300.2981
1973-10,0.1287841796875,300.1631
1973-11,0.09246826171875,300.28076
1973-12,-0.5606689453125,299.34766
1974-01,-0.726776123046875,298.55054
1974-02,-0.862213134765625,298.16943
1974-03,-0.860565185546875,298.14868
1974-04,-0.797088623046875,298.42334
1974-05,-1.078094482421875,298.43213
1974-06,-0.5982666015625,299.1687
1974-07,-0.528228759765625,299.18726
1974-08,-0.230316162109375,299.80127
1974-09,-0.38909912109375,299.63208
1974-10,-0.1387939453125,299.8955
1974-11,0.03338623046875,300.22168
1974-12,-0.8526611328125,299.05566
1975-01,-0.325164794921875,298.95215
1975-02,-0.703521728515625,298.32812
1975-03,-0.436004638671875,298.57324
1975-04,-0.360321044921875,298.8601
1975-05,-0.731658935546875,298.77856
1975-06,-0.7413330078125,299.02563
1975-07,-0.714996337890625,299.0005
1975-08,-0.156097412109375,299.8755
1975-09,-0.26287841796875,299.7583
1975-10,-0.2723388671875,299.76196
1975-11,-0.23101806640625,299.95728
1975-12,-0.5455322265625,299.3628
1976-01,-0.722625732421875,298.5547
1976-02,-0.775299072265625,298.25635
1976-03,-0.551727294921875,298.45752
1976-04,-0.409881591796875,298.81055
1976-05,-0.239471435546875,299.27075
1976-06,-0.3804931640625,299.38647
1976-07,-0.180328369140625,299.53516
1976-08,-0.548675537109375,299.4829
1976-09,-0.48895263671875,299.53223
1976-10,-0.4049072265625,299.6294
1976-11,-0.46075439453125,299.72754
1976-12,-0.3651123046875,299.5432
1977-01,-0.769989013671875,298.50732
1977-02,-0.644927978515625,298.38672
1977-03,-0.218231201171875,298.79102
1977-04,-0.217987060546875,299.00244
1977-05,-0.467742919921875,299.04248
1977-06,-0.4842529296875,299.2827
1977-07,-0.193267822265625,299.52222
1977-08,-0.062835693359375,299.96875
1977-09,0.10406494140625,300.12524
1977-10,0.1104736328125,300.14478
1977-11,0.13568115234375,300.32397
1977-12,-0.2869873046875,299.62134
1978-01,-0.340301513671875,298.937
1978-02,0.238128662109375,299.26978
1978-03,-0.341278076171875,298.66797
1978-04,-0.174530029296875,299.0459
1978-05,-0.085174560546875,299.42505
1978-06,-0.2105712890625,299.5564
1978-07,-0.647613525390625,299.06787
1978-08,-0.353118896484375,299.67847
1978-09,-0.07073974609375,299.95044
1978-10,-0.1412353515625,299.89307
1978-11,-0.17144775390625,300.01685
1978-12,-0.3800048828125,299.52832
1979-01,0.080841064453125,299.35815
1979-02,0.081878662109375,299.11353
1979-03,0.245880126953125,299.25513
1979-04,0.377960205078125,299.5984
1979-05,0.031524658203125,299.54175
1979-06,0.0179443359375,299.7849
1979-07,-0.005279541015625,299.7102
1979-08,-0.047210693359375,299.98438
1979-09,-0.03143310546875,299.98975
1979-10,0.2281494140625,300.26245
1979-11,0.16522216796875,300.35352
1979-12,0.1812744140625,300.0896
1980-01,-0.111053466796875,299.16626
1980-02,-0.575592041015625,298.45605
1980-03,-0.122772216796875,298.88647
1980-04,0.220245361328125,299.44067
1980-05,0.531524658203125,300.04175
1980-06,0.0838623046875,299.85083
1980-07,0.201995849609375,299.91748
1980-08,0.253570556640625,300.28516
1980-09,0.16973876953125,300.19092
1980-10,0.0264892578125,300.0608
1980-11,-0.16339111328125,300.0249
1980-12,0.1903076171875,300.09863
1981-01,0.106719970703125,299.38403
1981-02,0.498626708984375,299.53027
1981-03,0.473663330078125,299.4829
1981-04,0.644317626953125,299.86475
1981-05,0.010772705078125,299.521
1981-06,0.2401123046875,300.00708
1981-07,0.283538818359375,299.99902
1981-08,0.227935791015625,300.25952
1981-09,0.05279541015625,300.07397
1981-10,-0.0318603515625,300.00244
1981-11,0.19061279296875,300.3789
1981-12,-0.0091552734375,299.89917
1982-01,-0.180389404296875,299.09692
1982-02,-0.154449462890625,298.8772
1982-03,-0.012664794921875,298.99658
1982-04,-0.050018310546875,299.1704
1982-05,0.394805908203125,299.90503
1982-06,0.4332275390625,300.2002
1982-07,0.165618896484375,299.8811
1982-08,-0.090179443359375,299.9414
1982-09,-0.16107177734375,299.8601
1982-10,-0.4132080078125,299.6211
