Pressure,Height,Temperature,RH,DewPoint,Speed,Direction
1011.3,19,28.0,82,24.7,5.1,70
1005.2,73,26.3,85,23.6,5.8,79
998.9,130,25.8,86,23.2,7.6,73
993.6,175,25.3,88,23.1,8.0,66
987.6,230,25.0,88,22.9,8.1,60
981.6,283,24.4,92,23.0,8.5,57
975.0,343,23.8,95,22.9,8.7,57
968.3,402,23.2,97,22.7,8.8,61
960.1,477,22.6,99,22.4,9.4,67
953.2,540,22.4,94,21.4,10.7,68
946.0,607,22.1,95,21.2,11.9,64
939.3,669,21.7,95,20.8,12.3,62
932.9,728,21.2,98,20.8,12.3,62
926.4,789,20.8,98,20.4,12.0,62
920.1,849,20.5,95,19.7,11.8,63
914.0,905,20.4,90,18.7,11.8,64
907.8,965,20.6,74,16.0,11.9,65
901.9,1022,20.6,69,14.7,11.8,67
895.6,1082,20.5,65,13.7,11.2,69
888.8,1148,20.7,62,13.1,9.9,70
882.6,1208,20.7,57,11.8,8.5,71
876.5,1269,20.4,54,10.9,7.7,73
869.8,1335,20.0,54,10.5,7.5,78
863.5,1399,19.5,63,12.3,7.4,82
857.5,1457,19.0,69,13.1,6.9,88
850.7,1525,18.5,76,14.2,6.3,98
844.3,1590,18.4,80,14.9,6.3,111
838.7,1648,18.4,73,13.5,6.7,121
832.8,1708,18.1,74,13.5,7.1,124
826.4,1776,17.6,75,13.1,7.7,124
820.7,1834,17.2,78,13.3,8.5,122
814.5,1898,17.1,76,12.9,9.2,121
808.5,1962,16.8,74,12.2,9.5,123
802.5,2025,16.4,75,11.9,9.6,126
796.3,2091,15.8,78,11.9,9.9,130
790.3,2157,15.3,78,11.6,10.4,131
784.2,2221,14.9,77,11.0,11.0,131
778.2,2288,14.5,76,10.3,11.4,129
772.7,2348,14.1,77,10.2,11.8,128
767.1,2409,13.6,79,10.1,12.2,129
761.5,2470,13.2,81,9.9,12.5,131
755.7,2535,12.8,80,9.4,12.5,132
750.1,2598,12.7,69,7.2,12.1,131
744.7,2659,12.3,67,6.3,11.3,130
739.3,2719,11.8,66,5.7,10.3,129
733.9,2780,11.4,67,5.5,9.3,128
728.4,2844,11.0,65,4.7,8.5,127
723.1,2904,10.8,62,3.8,7.5,123
717.4,2971,10.4,60,3.0,6.8,116
711.4,3042,10.3,63,3.5,6.3,105
706.2,3102,10.1,57,1.9,6.2,95
701.4,3158,10.0,49,-0.2,6.2,91
696.1,3221,9.5,47,-1.3,6.4,91
690.5,3288,9.1,52,-0.3,6.5,92
685.1,3354,8.4,63,1.8,6.4,94
679.9,3417,7.9,67,2.1,5.9,95
674.9,3478,7.4,67,1.7,5.2,96
670.0,3538,7.0,67,1.3,4.5,90
664.7,3602,6.7,62,-0.1,4.2,83
659.4,3670,6.1,61,-0.9,4.3,85
654.6,3728,5.6,66,-0.2,4.6,86
649.7,3791,4.9,74,0.7,4.9,79
645.1,3848,4.4,84,2.0,4.2,67
640.4,3908,4.2,87,2.3,3.2,48
635.8,3967,4.0,86,1.9,2.3,31
631.1,4026,3.6,85,1.4,1.7,21
626.7,4083,3.2,85,1.0,1.7,29
622.1,4145,2.8,86,0.6,2.3,53
617.6,4203,2.3,84,-0.2,3.1,65
612.8,4266,1.9,80,-1.1,3.1,66
608.1,4326,1.4,84,-1.1,2.6,61
603.3,4392,0.8,87,-1.0,2.1,52
598.8,4453,0.5,85,-1.8,2.2,28
594.2,4513,0.2,85,-2.0,3.6,10
589.8,4572,0.4,82,-2.3,5.5,6
585.6,4630,0.5,81,-2.5,6.7,4
581.2,4692,0.4,79,-2.8,6.7,3
577.1,4749,0.7,68,-4.6,6.5,7
572.9,4807,0.8,59,-6.3,6.6,15
568.9,4863,1.0,52,-7.6,6.5,26
